,data,precalculated,result,Diff
516,1331,1337,1336.825644,0.174355989
517,1337,1342,1342.010985,0.010985144
518,1344,1347,1347.242122,0.24212234
519,1353,1353,1352.557923,0.442076621
520,1361,1358,1357.937752,0.06224839
521,1366,1363,1363.32175,0.321749905
522,1360,1369,1368.492982,0.507017966
523,1363,1374,1373.630774,0.369226184
524,1376,1379,1378.932431,0.067569111
525,1378,1384,1384.179486,0.179485993
526,1386,1390,1389.490611,0.50938879
527,1387,1395,1394.727133,0.272866988
528,1396,1400,1400.047334,0.047334222
529,1390,1405,1405.154695,0.154695039
530,1400,1410,1410.366506,0.366506147
531,1400,1416,1415.484596,0.515403959
532,1415,1421,1420.805398,0.194601557
533,1422,1426,1426.169198,0.169198182
534,1424,1432,1431.476941,0.523059062
535,1432,1437,1436.847315,0.152684681
536,1440,1442,1442.279615,0.27961494
537,1435,1448,1447.516941,0.483059119
538,1442,1453,1452.797577,0.202423154
539,1459,1458,1458.318087,0.318087367
540,1463,1464,1463.819849,0.180150979
541,1468,1469,1469.32264,0.322640387
542,1474,1475,1474.84605,0.153949974
543,1467,1480,1480.133575,0.133575014
544,1486,1486,1485.699796,0.300203501
545,1476,1491,1490.970401,0.029598887
546,1495,1497,1496.519672,0.480327846
547,1506,1502,1502.187152,0.187152118
548,1493,1508,1507.498607,0.501393319
549,1507,1513,1512.989487,0.010513049
550,1513,1519,1518.500303,0.499697208
551,1526,1524,1524.168712,0.168711753
552,1530,1530,1529.815712,0.184288427
553,1520,1535,1535.165496,0.165495859
554,1526,1541,1540.536169,0.463830617
555,1538,1546,1546.045691,0.045691316
556,1542,1552,1551.534967,0.46503254
557,1543,1557,1556.944979,0.055020861
558,1559,1563,1562.572016,0.427983506
559,1570,1568,1568.315343,0.315342975
560,1569,1574,1573.937234,0.062766255
561,1567,1579,1579.419052,0.419052476
562,1584,1585,1585.136502,0.136502264
563,1585,1591,1590.771882,0.228117516
564,1587,1596,1596.345593,0.345592694
565,1590,1602,1601.877843,0.122157388
566,1594,1607,1607.388652,0.388651856
567,1616,1613,1613.232873,0.232872516
568,1621,1619,1619.072145,0.072144503
569,1628,1625,1624.945814,0.054185752
570,1622,1631,1630.597238,0.40276245
571,1628,1636,1636.264953,0.264952694
572,1628,1642,1641.830464,0.169536398
573,1636,1647,1647.452331,0.452330886
574,1640,1653,1653.051092,0.051092376
575,1651,1659,1658.764836,0.235163991
576,1668,1665,1664.710598,0.289401668
577,1666,1670,1670.511583,0.511582561
578,1674,1676,1676.366156,0.366156152
579,1681,1682,1682.253987,0.253986975
580,1687,1688,1688.154937,0.154936991
581,1680,1694,1693.812575,0.187424512
582,1702,1700,1699.800678,0.199322179
583,1695,1706,1705.544426,0.455574132
584,1711,1711,1711.499355,0.49935508
585,1715,1717,1717.426828,0.426827791
586,1715,1723,1723.248173,0.248172721
587,1729,1729,1729.240221,0.240220651
588,1727,1735,1735.085895,0.085895075
589,1732,1741,1740.924464,0.07553572
590,1747,1747,1746.952975,0.04702485
591,1738,1753,1752.696506,0.303493577
592,1756,1759,1758.689824,0.310176298
593,1762,1765,1764.69392,0.306079532
594,1762,1771,1770.590342,0.409658101
595,1770,1777,1776.537691,0.462309102
596,1774,1782,1782.456547,0.456547163
597,1775,1788,1788.287968,0.287968453
598,1783,1794,1794.170664,0.170664394
599,1784,1800,1799.966099,0.033901369
600,1809,1806,1806.148009,0.148008742
601,1805,1812,1812.141032,0.141032272
602,1815,1818,1818.222797,0.222797434
603,1811,1824,1824.116439,0.11643865
604,1816,1830,1830.001052,0.001052239
605,1823,1836,1835.916056,0.083944474
606,1841,1842,1842.077849,0.077849006
607,1848,1848,1848.267158,0.26715824
608,1858,1855,1854.542727,0.457272631
609,1856,1861,1860.667116,0.332884456
610,1856,1867,1866.681094,0.318905993
611,1875,1873,1872.960077,0.039922565
612,1881,1879,1879.245194,0.245194137
613,1883,1885,1885.457439,0.457439067
614,1892,1892,1891.73536,0.264640374
615,1895,1898,1897.959964,0.04003606
616,1893,1904,1904.033123,0.03312302
617,1895,1910,1910.035038,0.035038147
618,1907,1916,1916.163389,0.163388519
619,1913,1922,1922.298614,0.298614278
620,1920,1928,1928.460262,0.46026216
621,1932,1935,1934.746518,0.253481927
622,1930,1941,1940.880167,0.119832543
623,1946,1947,1947.217326,0.217326352
624,1946,1953,1953.4406,0.440600164
625,1958,1960,1959.78748,0.212520325
626,1954,1966,1965.941343,0.058657159
627,1970,1972,1972.298113,0.298113226
628,1967,1978,1978.481281,0.481281485
629,1981,1985,1984.827461,0.172539398
630,1992,1991,1991.275849,0.275848592
631,1991,1998,1997.588854,0.411145693
632,1992,2004,2003.8071,0.192899939
633,2010,2010,2010.266438,0.266438404
634,2002,2016,2016.452034,0.452034133
635,2024,2023,2022.957671,0.042329135
636,2017,2029,2029.208626,0.208625621
637,2032,2036,2035.640834,0.359166199
638,2036,2042,2042.035657,0.035656637
639,2051,2049,2048.610136,0.389863574
640,2045,2055,2054.948562,0.0514375
641,2050,2061,2061.269904,0.269903586
642,2062,2068,2067.712187,0.287813485
